Huszár S. – Prónay Sz. – Buzás N.|2017|Spin-off vállalkozás indítás motivációinak és elősegítő tényezőinek összehasonlítása férfi és női kutatók körében.|In Bányai E. – Lányi B. – Törőcsik M. (szerk.): Tükröződés, társtudományok, trendek, fogyasztás: Egyesület a Marketing Oktatásért és kutatásért (EMOK) XXIII. országos konferencia: Tanulmánykötet.
Huszár S. – Prónay Sz. – Buzás N.|2016|Examining the differences between the motivations of traditional and entrepreneurial scientists.|JOURNAL OF INNOVATION AND ENTREPRENEURSHIP, 5:1, 1-22.
Huszár S. – Prónay Sz. – Buzás N.|2016|nvestigating the intention to create spin-offs in higher education.|In Kleschné Csapi V. – Bedő Zs. (szerk.): ICUBERD 2016 Book of Papers. Pécs: University of Pécs, 104-117.
Kéri A.|2019|Developing a customizable serious game and its applicability in the classroom.|International Journal of Educational and Pedagogical Sciences, 13, 5, 553-560.
Prónay Sz.|2011|A szolgáltatásinkubáció egyetemi fogadtatása.|n: Z Karvalics László (szerk.): Szolgáltatásinkubáció az egyetemi szférában: Innovatív külső és belső információmenedzsment megoldások. Szeged: Primaware, 58-107.
Szántó Sz. – Prónay Sz.|2012|A fiatalok értékei és magatartása online környezetben.|In Piskóti I. (szerk.): "Coopetition": verseny és együttműködés a marketingben. A Magyar Marketing Szövetség Marketing Oktatók Klubja 18. Országos Konferencia, Konferenciakiadvány, 48-57.
Pusztai-Varga I.|2018|Élet ÉS fordítás:: műfordítói kompetencia régen és ma.|FORDÍTÁSTUDOMÁNY 20:1, 36-47.
Pusztai-Varga I.|2014|5-ös borkóstoló, nyár, zsírosdeszka – Kreativitás a szakfordításban.|SZAKNYELV ÉS SZAKFORDÍTÁS, 30-41.
Pusztai-Varga I.|2013|Műfaji sokszínűség a minőség tükrében a természettudományi szakfordító képzésben.|SZAKNYELV ÉS SZAKFORDÍTÁS, pp. 13-23.
Pusztai-Varga I.|2012|Diszlexiások nyelvi képzése a Szegedi Tudományegyetemen.|MÓDSZERTANI KÖZLEMÉNYEK: A SZEGEDI PEDAGÓGIAI FŐISKOLA ÉS TANÍTÓKÉPZŐ INTÉZET, 52:4, 30-40.
Pusztai-Varga I.|2010|(F)elszabadító fordításelmélet: A fordításelmélet oktatása a szakfordítóképzésben.|SZAKNYELV ÉS SZAKFORDÍTÁS 2009-2010, 75-86.
Pusztai-Varga I.|2007|Felnőtt-e az egyetemista?|In: Silye, Magdolna (szerk.) Porta Lingua 2007 : Szaknyelvkutatásunk – határokon átívelő híd : cikkek, tanulmányok a hazai szaknyelvoktatásról és –kutatásról. Debrecen, Magyarország: Debreceni Egyetem Agrártudományi Centrum, 185-191.
Pusztai-Varga I.|2006|Személyiségközpontú nyelvtanítás a felsőoktatásban.|In: Demeter, Éva; Solymosi, Mária (szerk.) Szegedi Nyelvi Mozaik. Szeged, Magyarország. JATEPress Kiadó, 11-16.
