# $Id$ 
Arc;Powder;111;46624;5;5;
A gömb;Sphere;893;17783;5;4;
A Mars-mentőakció;Mission to Mars;14361;10586;3;2;
Screamers - Az elhagyott bolygó;Screamers;599;16650;3;3;
A parazita;The Puppet Masters;5016;49852;3;3;
12 majom;12 Monkeys (Twelve Monkeys);2;43880;4;2;
Harrison Bergeron;Harrison Bergeron;62982;49632;5;3;
Kapcsolat;Contact;1268;3507;5;4;
A homok alatt;Under sandet;195267;274616;4;4;Aknák földjén
A Moebius-metró;Moebius;2800;53848;4;4;
Törésvonal;San Andreas;159460;154495;3;3;
A tégla;The departed;79681;44203;3;3;
Selyemgubó;Cocoon;7717;18086;4;4;
Selyemgubó 2. - A visszatérés;Cocoon - The Return;7760;19720;3;3;
Válogatott gyilkosok;Killer Elite;120778;33228;2;2;
A nagy szökés;The Great Escape;50397;14344;5;5;
A fegyvertelen katona;Hacksaw Ridge;177995;272823;4;4.5;
Ádám almái;Adams aebler;90487;44146;4;4;
Szerelem a végzeten;Serendipity;44299;17350;3;3;
Élet;Life;181229;277503;3;2;
A kém;Spy;160482;145635;3.5;4;
Árnyék nélkül;Hollow Man;18721;45492;3;3;
St. Vincent;St. Vincent;147599;146110;4;3;
Ellenség a kapuknál;Enemy at the Gates;37943;3873;4;4;
Ilyen az élet;Life as We Know It;112304;53501;3.5;4;
Ha Isten úgy akarja;Se Dio vuole;169180;274720;4;3;
Tüskevár;Tüskevár;7621;77533;5;5;
2 kaliber;2 Guns;140835;91692;4;4;
Orvlövész;Shooter;83733;15507;4;4;
A Belier család;La famille Belier;162544;273537;4;4;
Fifti-fifti;Fifty/Fifty;6782;35547;2.5;3;
Könnyű nőcske;Easy A;112295;53243;2;2;
Hegylakó;Highlander;18510;15669;3.5;3;
Az utolsó dobás;Snake Eyes;3297;45330;4;4;
Szökőhév;Leap Year;107342;32346;3.5;3.5;
Háborgó mélység;Deep Blue Sea;9277;142315;2.5;3;
Amerikai mesterlövész;American Sniper;157140;119238;3.5;3;
A csíkos pizsamás fiú;The Boy in the Striped Pyjamas;89536;23735;4;4;
A Stonehearst Elmegyógyintézet;Eliza Graves;154047;128917;4;3
Szerelem sokadik látásra;A Lot Like Love;68402;16486;3.5;3.5;
Az utolsó szamuráj;The Last Samurai;57729;44030;4;4;
Tango és Cash;Tango & Cash;5882;45586;4;4;
Becstelen Brigantyk;Inglourious Basterds;100594;25956;2;2;
Szörnyecskék;Gremlins;14101;4058;3.5;3;
Pénzcsináló;Moneyball;118831;61428;4;3;
A delfin nyomában;Beneath the Blue;144351;56144;3;4;
Zöld hentesek;De Gronne slagtere;68098;44910;4;4;
Megérzés;Premonition;85887;17538;3;3;
Hívatlan vendég;The Uninvited;105572;47108;4;4;
Hazugságok hálója;Body of Lies;96193;20938;3.5;4;
Gothika;Gothika;57737;44909;3.5;3.5;
Gyilkosság lólépésben;Knight Moves;11908;14134;3.5;3.5;
Mások élete;Das Leben der Anderen;79676;3189;4;3;
Focus - A látszat csal;Focus;157300;156461;3;3;
Apollo 13;Apollo 13;6021;44015;3.5;4;
